ALTIS,1,1,1
APPLAUSE,1,1,1
APPLAUSE THETA,1,1,1
ATRAI,1,1,1
ATRAI 7,1,1,1
ATRAI WAGON,1,1,1
BEGO,1,1,1
BOON,1,1,1
BOON LUMINAS,1,1,1
CAST,1,1,1
CHARADE,1,1,1
CHARADE DeTOMASO,1,1,1
CHARADE SOCIAL,1,1,1
COO,1,1,1
COPEN,1,1,1
DELTA WAGON,1,1,1
DELTA WIDE WAGON,1,1,1
ESSE,1,1,1
LEEZA,1,1,1
MAX,1,1,1
MEBIUS,1,1,1
MIDGETII,1,1,1
MIRA,1,1,1
MIRA AVY,1,1,1
MIRA COCOA,1,1,1
MIRA CUSTOM,1,1,1
MIRA ES,1,1,1
MIRA GINO,1,1,1
MIRA GINO 1000,1,1,1
MIRA MODERNO,1,1,1
MIRA TOCOT,1,1,1
MIRA TRXX,1,1,1
MOVE,1,1,1
MOVE CANBUS,1,1,1
MOVE CONTE,1,1,1
MOVE LATTE,1,1,1
NAKED,1,1,1
OPTI,1,1,1
PYZAR,1,1,1
ROCKY,1,1,1
RUGGER,1,1,1
SONICA,1,1,1
STORIA,1,1,1
TANTO,1,1,1
TANTO EXE,1,1,1
TERIOS,1,1,1
TERIOS KID,1,1,1
TERIOS LUCIA,1,1,1
THOR,1,1,1
WAKE,1,1,1
YRV,1,1,1
CT200H,2,1,1
ES300H,2,1,1
GS F,2,1,1
GS200T,2,1,1
GS250,2,1,1
GS300,2,1,1
GS300H,2,1,1
GS350,2,1,1
GS430,2,1,1
GS450H,2,1,1
GS460,2,1,1
HS250H,2,1,1
IS F,2,1,1
IS200T,2,1,1
IS250,2,1,1
IS250C,2,1,1
IS300,2,1,1
IS300H,2,1,1
IS350,2,1,1
IS350C,2,1,1
LC500,2,1,1
LC500H,2,1,1
LFA,2,1,1
LS460,2,1,1
LS460L,2,1,1
LS500,2,1,1
LS500H,2,1,1
LS600H,2,1,1
LX570,2,1,1
NX200T,2,1,1
NX300,2,1,1
NX300H,2,1,1
RC F,2,1,1
RC200T,2,1,1
RC300,2,1,1
RC300H,2,1,1
RC350,2,1,1
RX200T,2,1,1
RX270,2,1,1
RX300,2,1,1
RX350,2,1,1
RX450H,2,1,1
SC,2,1,1
SC430,2,1,1
UX200,2,1,1
UX250H,2,1,1
ALCYONE,3,1,1
ALCYONE SVX,3,1,1
BIGHORN,3,1,1
BRZ,3,1,1
CHIFFON,3,1,1
DEX,3,1,1
DIAS WAGON,3,1,1
DOMINGO,3,1,1
EXIGA,3,1,1
EXIGA CROSSOVER7,3,1,1
FORESTER,3,1,1
IMPREZA,3,1,1
IMPREZA ANESIS,3,1,1
IMPREZA G4,3,1,1
IMPREZA RETNA,3,1,1
IMPREZA SPORTS,3,1,1
IMPREZA SPORTS HYBRID,3,1,1
IMPREZA SPORTS WAGON,3,1,1
IMPREZA WRX,3,1,1
JUSTY,3,1,1
LEGACY,3,1,1
LEGACY B4,3,1,1
LEGACY GRAND WAGON,3,1,1
LEGACY LANCASTER,3,1,1
LEGACY OUTBACK,3,1,1
LEGACY TOURING WAGON,3,1,1
LEONE,3,1,1
LEVORG,3,1,1
LUCRA,3,1,1
LUCRA CUSTOM,3,1,1
PLEO,3,1,1
PLEO CUSTOM,3,1,1
PLEO NESTA,3,1,1
PLEO PLUS,3,1,1
R1,3,1,1
R2,3,1,1
REX,3,1,1
SAMBAR DIAS,3,1,1
SAMBAR TRY,3,1,1
STELLA,3,1,1
TRAVIQ,3,1,1
TREZIA,3,1,1
VIVIO,3,1,1
VIVIO BISTRO,3,1,1
WRX S4,3,1,1
WRX STI,3,1,1
XV,3,1,1
XV HYBRID,3,1,1
100,4,1,1
300,4,1,1
500,4,1,1
800,4,1,1
CARGO WAGON,4,1,1
PRESSO,4,1,1
ROADSTER,4,1,1
